,key,thread,worker,prefix,group,start,finish,stimulus_id,called_from,begins,ends,duration,size,time
70,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 1, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.548275
71,"('random_sample-c174146ff8964021504e2af2c920de85', 1, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.551568
72,"('random_sample-c174146ff8964021504e2af2c920de85', 1, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.55608
73,"('add-52995fce93ff355636fb897843eefa3e', 1, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5592577
74,"('mul-77b98ebe198d5df46ca992041164c8ec', 1, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5635564
75,"('chunk_min-af7e022d985b391b53eb41df5aaf6406', 1, 0, 0)",,,chunk_min,chunk_min-af7e022d985b391b53eb41df5aaf6406,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5672233
76,"('rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 0, 0, 0)",,,rechunk-split-rechunk-merge,rechunk-split-rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.570783
77,"('rechunk-merge-60ce5c8cc9da772ca402555f03c6619d', 0, 0, 0)",,,rechunk-merge,rechunk-merge-60ce5c8cc9da772ca402555f03c6619d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5744874
78,"('random_sample-c174146ff8964021504e2af2c920de85', 0, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5778732
79,"('random_sample-c174146ff8964021504e2af2c920de85', 0, 0, 0)",,,random_sample,random_sample-c174146ff8964021504e2af2c920de85,waiting,processing,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.580802
80,"('add-52995fce93ff355636fb897843eefa3e', 0, 0, 0)",,,add,add-52995fce93ff355636fb897843eefa3e,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5827434
81,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 1, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5846343
82,"('mul-77b98ebe198d5df46ca992041164c8ec', 0, 0, 0)",,,mul,mul-77b98ebe198d5df46ca992041164c8ec,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5866919
83,"('chunk_max-ef72cf60915bddcd0b89de732722f19d', 0, 0, 0)",,,chunk_max,chunk_max-ef72cf60915bddcd0b89de732722f19d,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5885324
84,"('chunk_max-partial-12c7b07dde288d2291a26129193a9530', 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-12c7b07dde288d2291a26129193a9530,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5903676
85,"('chunk_max-partial-28fa6340d780fc3bf2b10eca8c44428f', 0, 0, 0)",,,chunk_max-partial,chunk_max-partial-28fa6340d780fc3bf2b10eca8c44428f,released,waiting,update-graph-1712775115.7874467,tcp://10.201.2.39:8786,,,,,1712775117.5922253
